발생요일,발생년도,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
발생요일,발생년도,합계,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
전체,발생건수,220917,11853,6930,6941,13344,21889,19879,21115,23544,26037,29122,22436,17827
일,발생건수,25535,2009,1329,1043,1141,1506,2155,2594,3011,2980,3258,2720,1789
월,발생건수,31327,990,555,889,2107,3639,3051,3040,3452,3931,4202,3053,2418
화,발생건수,31410,1389,764,903,2066,3647,2863,2952,3282,3756,4213,3102,2473
수,발생건수,32036,1503,847,869,2077,3624,2862,2924,3380,3838,4322,3119,2671
목,발생건수,31663,1673,845,915,2124,3528,2838,2821,3202,3764,4090,3251,2612
금,발생건수,35358,1824,1005,1029,2133,3494,2933,3204,3553,4179,4944,3860,3200
토,발생건수,33588,2465,1585,1293,1696,2451,3177,3580,3664,3589,4093,3331,2664
